B;;Temps;1;;2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;20;;21;
Jeu;Nom;Responsable;10h08-10h23;;10h25 - 10h40;;10h42 - 10h57;;10h59 - 11h14;;11h16 - 11h31;;11h33 - 11h48;;11h50 - 12h05;;12h07 - 12h22;;12h24 - 12H39;;13h38 - 13h53;;13h55 - 14h10;;14h12 - 14h27;;14h29 - 14h44;;14h46 - 15h01;;15H03 - 15h18;;15h20- 15h35;;15h37 - 15h52;;15h54 - 16h09;;16h11 - 16h26;;16h28 - 16h43;;16h45 - 17h00;
22;L'arbre de Dhak;Scouts;43;84;45;44;47;46;49;48;51;50;53;52;55;54;57;56;59;58;61;60;63;62;65;64;67;66;69;68;71;70;73;72;75;74;77;76;79;78;81;80;83;82
23;Le village de Buldeo;Scouts;44;83;46;43;48;45;50;47;52;49;54;51;56;53;58;55;60;57;62;59;64;61;66;63;68;65;70;67;72;69;74;71;76;73;78;75;80;77;82;79;84;81
24;Vite, Akéla nous appelle!;Ecaussinnes;45;82;47;84;49;44;51;46;53;48;55;50;57;52;59;54;61;56;63;58;65;60;67;62;69;64;71;66;73;68;75;70;77;72;79;74;81;76;83;78;43;80
25;De liane en liane;Scouts;46;81;48;83;50;43;52;45;54;47;56;49;58;51;60;53;62;55;64;57;66;59;68;61;70;63;72;65;74;67;76;69;78;71;80;73;82;75;84;77;44;79
26;La rivière Waingunga;Ecaussinnes;47;80;49;82;51;84;53;44;55;46;57;48;59;50;61;52;63;54;65;56;67;58;69;60;71;62;73;64;75;66;77;68;79;70;81;72;83;74;43;76;45;78
27;La ronde des Totems;Ecaussinnes;48;79;50;81;52;83;54;43;56;45;58;47;60;49;62;51;64;53;66;55;68;57;70;59;72;61;74;63;76;65;78;67;80;69;82;71;84;73;44;75;46;77
28;Le repas de Kaa;Scouts;49;78;51;80;53;82;55;84;57;44;59;46;61;48;63;50;65;52;67;54;69;56;71;58;73;60;75;62;77;64;79;66;81;68;83;70;43;72;45;74;47;76
29;Chikaï - Hathi - Baloo - Kaa;Scouts;50;77;52;79;54;81;56;83;58;43;60;45;62;47;64;49;66;51;68;53;70;55;72;57;74;59;76;61;78;63;80;65;82;67;84;69;44;71;46;73;48;75
30;Le désordre des Bandar logs;Ecaussinnes;51;76;53;78;55;80;57;82;59;84;61;44;63;46;65;48;67;50;69;52;71;54;73;56;75;58;77;60;79;62;81;64;83;66;43;68;45;70;47;72;49;74
31;Partie de chasse;Scouts;52;75;54;77;56;79;58;81;60;83;62;43;64;45;66;47;68;49;70;51;72;53;74;55;76;57;78;59;80;61;82;63;84;65;44;67;46;69;48;71;50;73
32;Le saut de Shere Khan;Ecaussinnes;53;74;55;76;57;78;59;80;61;82;63;84;65;44;67;46;69;48;71;50;73;52;75;54;77;56;79;58;81;60;83;62;43;64;45;66;47;68;49;70;51;72
33;Comme des frères;Scouts;54;73;56;75;58;77;60;79;62;81;64;83;66;43;68;45;70;47;72;49;74;51;76;53;78;55;80;57;82;59;84;61;44;63;46;65;48;67;50;69;52;71
34;Roc de la paix;Chamanes;55;72;57;74;59;76;61;78;63;80;65;82;67;84;69;44;71;46;73;48;75;50;77;52;79;54;81;56;83;58;43;60;45;62;47;64;49;66;51;68;53;70
35;La chasse des hommes;Rémi et Romain;56;71;58;73;60;75;62;77;64;79;66;81;68;83;70;43;72;45;74;47;76;49;78;51;80;53;82;55;84;57;44;59;46;61;48;63;50;65;52;67;54;69
36;Rikki-tikki-tavi;Scouts;57;70;59;72;61;74;63;76;65;78;67;80;69;82;71;84;73;44;75;46;77;48;79;50;81;52;83;54;43;56;45;58;47;60;49;62;51;64;53;66;55;68
37;La charge des buffles;Ecaussinnes;58;69;60;71;62;73;64;75;66;77;68;79;70;81;72;83;74;43;76;45;78;47;80;49;82;51;84;53;44;55;46;57;48;59;50;61;52;63;54;65;56;67
38;Les petits d'hommes;Sarah Declerck et Louise Colin;59;68;61;70;63;72;65;74;67;76;69;78;71;80;73;82;75;84;77;44;79;46;81;48;83;50;43;52;45;54;47;56;49;58;51;60;53;62;55;64;57;66
39;Le trésor de Thuu;Scouts;60;67;62;69;64;71;66;73;68;75;70;77;72;79;74;81;76;83;78;43;80;45;82;47;84;49;44;51;46;53;48;55;50;57;52;59;54;61;56;63;58;65
40;Le chant des loups;Clémence Dehoux et Céline Duquene;61;66;63;68;65;70;67;72;69;74;71;76;73;78;75;80;77;82;79;84;81;44;83;46;43;48;45;50;47;52;49;54;51;56;53;58;55;60;57;62;59;64
41;La collection du Roi Louie;Sakina et Heloise (B‚n‚voles Jade);62;65;64;67;66;69;68;71;70;73;72;75;74;77;76;79;78;81;80;83;82;43;84;45;44;47;46;49;48;51;50;53;52;55;54;57;56;59;58;61;60;63
42;Le repos du guerrier;/;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62
